symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_latest_title,flow_top_brokers,flow_event_mix,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,active_source_count,card_score
122870,와이지엔터테인먼트,엔터테인먼트/게임,,,,,,,3.8942,2.0942,4.0,2.0,0.0,0.7536,0.0,0.0,0.0,0.0,0.077,0.8085,0.5,와이지엔터테인먼트(122870) 모멘텀 플레이 가능 구간,,,0,,,,,,,,0.6904761904761905,,,,,1,0.6244047619047619
023530,롯데쇼핑,유통/백화점,,,,,,,3.8377,3.1377,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0608,0.6198,0.0,백화점에서 확산되는 온기(溫氣),,,0,,,,,,,,0.6785714285714286,,,,,1,0.6142857142857143
347700,스피어,우주항공과국방,,,,,,,3.7434,2.8434,2.0,1.0,0.0,0.7607,0.0,0.0,0.0,0.0,-0.0103,0.8021,0.5,스피어(347700) 스페이스X 발사체 성장은 곧 나의 성장,,,0,,,,,,,,0.6666666666666666,,,,,1,0.6041666666666666
035900,JYP Ent.,엔터테인먼트/게임,,,,,,,3.7254,1.9254,4.0,2.0,0.0,0.7478,0.0,0.0,0.0,0.0,0.0447,0.8244,0.5,JYP Ent.(035900) 육각형 포트폴리오를 향해,,,0,,,,,,,,0.6547619047619048,,,,,1,0.594047619047619
010060,OCI홀딩스,화학,,,,,,,3.6182,2.9182,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.043,0.6035,0.0,태양광 중심으로 재편되는 에너지 안보 패러..,,,0,,,,,,,,0.6428571428571429,,,,,1,0.5839285714285715
226330,신테카바이오,건강관리업체및서비스,,,,,,,3.55,2.65,2.0,1.0,0.0,0.6802,0.0,0.0,0.0,0.0,-0.0153,0.925,0.5,신테카바이오(226330) AI 신약개발플랫폼 사업의 본격적인 실적 성장 기대,,,0,,,,,,,,0.6309523809523809,,,,,1,0.5738095238095238
011210,현대위아,자동차부품/타이어,,,,,,,3.4416,2.5416,2.0,1.0,0.0,0.7914,0.0,0.0,0.0,0.0,-0.0771,0.9014,0.5,현대위아(011210) Corp. Day 후기: 열관리 매출 증가와 인도 증설,,,0,,,,,,,,0.6190476190476191,,,,,1,0.5636904761904762
001040,CJ,철강/비철금속,,,,,,,3.4347,1.8347,3.0,2.0,0.0,0.7768,0.0,0.0,0.0,0.0,0.1891,0.7597,0.3333,푸드빌 호실적. 올리브영 가치도 multiple에 ..,,,0,,,,,,,,0.6071428571428571,,,,,1,0.5535714285714285
043370,피에이치에이,자동차부품/타이어,,,,,,,3.3163,2.672,1.0,1.0,0.0,0.8,1.6908,0.0,-0.1393,0.0,0.1177,0.649,0.0,자기주식 7.0% 보유 중,,,0,,,,,,,,0.5952380952380952,,,,,1,0.5434523809523809
178320,서진시스템,통신장비/네트워크,,,,,,,3.2987,2.3987,2.0,1.0,0.0,0.6977,0.0,0.0,0.0,0.0,-0.0038,0.925,0.5,서진시스템(178320) 수직계열화의 신이 보여줄 Showtime,,,0,,,,,,,,0.5833333333333334,,,,,1,0.5333333333333333
